HGNC Symbol,MXP Note,MXP
ACO2,Sentinal,Sentinal
ADCK1,MXP+,MXP
ADCK2,MXP+,MXP
ADCK5,MXP+,MXP
AKAP1,Sentinal,Sentinal
ALDH18A1,Sentinal,Sentinal
ATF5,Sentinal,Sentinal
ATPAF2,Sentinal,Sentinal
BCKDHA,Sentinal,Sentinal
C12orf10,MXP+,MXP
C14orf159,MXP-,MXP
C15orf40,MXP+,MXP
C15orf61,MXP+,MXP
RAB5IF,MXP+,MXP
C2orf69,MXP+,MXP
C3orf33,MXP+,MXP
MTRES1,MXP+,MXP
CCDC51,MXP+,MXP
HDHD5,MXP-,MXP
CISD2,Sentinal,Sentinal
CLPP,Sentinal,Sentinal
COQ2,Sentinal,Sentinal
COQ5,Sentinal,Sentinal
COQ7,Sentinal,Sentinal
COQ8A,Sentinal,Sentinal
COQ8A/COQ8B,Sentinal,Sentinal
COQ8B,Sentinal,Sentinal
COQ9,Sentinal,Sentinal
COX6A1,Sentinal,Sentinal
CPOX,Sentinal,Sentinal
CPT2,Sentinal,Sentinal
CYC1,Sentinal,Sentinal
DCAKD,MXP+,MXP
DGUOK,Sentinal,Sentinal
DHRS1,MXP+,MXP
DHRS4,MXP-,MXP
DHTKD1,Sentinal,Sentinal
ECHS1,Sentinal,Sentinal
ETFB,Sentinal,Sentinal
ETHE1,Sentinal,Sentinal
FAM136A,MXP+,MXP
MCRIP2,MXP+,MXP
FASTKD2,Sentinal,Sentinal
FUNDC2,MXP+,MXP
GLOD4,MXP+,MXP
GLRX5,Sentinal,Sentinal
GLS,Sentinal,Sentinal
GNG5,MXP+,MXP
GOLPH3,MXP-,MXP
GPD2,Sentinal,Sentinal
HDHD3,MXP+,MXP
HTRA2,Sentinal,Sentinal
IMMT,Sentinal,Sentinal
ISOC2,MXP+,MXP
KIAA0100,MXP+,MXP
L2HGDH,Sentinal,Sentinal
LETMD1,MXP+,MXP
LIAS,Sentinal,Sentinal
LYPLA1,Sentinal,Sentinal
LYRM2,MXP+,MXP
MAVS,Sentinal,Sentinal
MDH2,Sentinal,Sentinal
MECR,Sentinal,Sentinal
METTL5,MXP+,MXP
MFF,Sentinal,Sentinal
MFN2,Sentinal,Sentinal
MGME1,Sentinal,Sentinal
MICU1,Sentinal,Sentinal
MICOS10,Sentinal,Sentinal
MIPEP,Sentinal,Sentinal
MPC1,Sentinal,Sentinal
MPV17,Sentinal,Sentinal
MRPS22,Sentinal,Sentinal
MTFR1L,MXP+,MXP
MTHFD2,Sentinal,Sentinal
MTO1,Sentinal,Sentinal
MUT,Sentinal,Sentinal
"NA",Diploid control,Diploid control
"NA",Parental,Parental
NADK2,Sentinal,Sentinal
NDUFS3,Sentinal,Sentinal
NIPSNAP3A,MXP+,MXP
NT5DC2,MXP+,MXP
OCIAD1,MXP+,MXP
OXLD1,MXP+,MXP
OXNAD1,MXP+,MXP
PINK1,Sentinal,Sentinal
PISD,Sentinal,Sentinal
PLD6,Sentinal,Sentinal
PPTC7,Sentinal,Sentinal
PREPL,MXP-,MXP
PRODH,Sentinal,Sentinal
PUSL1,MXP+,MXP
PYURF,MXP+,MXP
RSAD1,MXP+,MXP
SCCPDH,MXP+,MXP
SFXN3,MXP+,MXP
SIRT3,Sentinal,Sentinal
SLC16A1,Sentinal,Sentinal
SLC25A1,Sentinal,Sentinal
SLC25A30,MXP+,MXP
SLC25A38,Sentinal,Sentinal
SLC25A44,MXP+,MXP
SLC30A9,MXP-,MXP
SOD2,Sentinal,Sentinal
SPATA20,MXP+,MXP
SPRYD4,MXP+,MXP
TAZ,Sentinal,Sentinal
TIMM17B,Sentinal,Sentinal
TIMM8A,Sentinal,Sentinal
TMEM126A,MXP+,MXP
TMEM177,MXP+,MXP
TMEM205,MXP+,MXP
TOMM7,Sentinal,Sentinal
TSFM,Sentinal,Sentinal
TSPO,Sentinal,Sentinal
ATP5MD,MXP-,MXP
ZADH2,MXP+,MXP
